time,temp0,hum0,cpt0,temp1,hum1,cpt1,temp2,hum2,cpt2,temp3,hum3,cpt3,temp4,hum4,cpt4,temp5,hum5,cpt5,temp6,hum6,cpt6,temp7,hum7,cpt7,temp8,hum8,cpt8,temp9,hum9,cpt9,targ0,meas0,temp_start0,temp_end0,open0,timeout0,cpt0,targ1,meas1,temp_start1,temp_end1,open1,timeout1,cpt1,targ2,meas2,temp_start2,temp_end2,open2,timeout2,cpt2,targ3,meas3,temp_start3,temp_end3,open3,timeout3,cpt3,targ4,meas4,temp_start4,temp_end4,open4,timeout4,cpt4
30_10_23_9_53,0,0,0,21.30,44.70,4388,20.10,55.40,4395,0,0,0,19.10,55.70,4379,19.80,51.80,4396,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.43,20.43,C,0,0,17.90,20.10,20.43,20.55,C,1,0,21.20,0.00,20.43,17.86,C,940,340,18.10,19.10,20.43,64.10,C,1,0,20.20,19.80,20.43,64.10,O,1,0
30_10_23_10_23,0,0,0,21.20,44.50,4441,20.10,55.40,4433,0,0,0,19.10,55.70,4379,19.80,51.80,4438,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.43,20.43,C,2,0,17.90,20.10,20.43,20.55,C,1,0,21.20,0.00,20.43,17.92,C,949,349,18.10,19.10,20.43,64.10,C,10,0,20.20,19.80,20.43,64.10,O,0,0
30_10_23_10_53,0,0,0,21.10,44.50,4485,20.10,55.40,4489,0,0,0,19.10,55.70,4379,19.90,52.00,4499,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.36,20.36,C,3,0,17.90,20.10,20.36,20.55,C,3,0,21.20,0.00,20.36,17.92,C,957,357,18.10,19.10,20.36,64.10,C,18,0,20.20,20.00,20.36,64.10,O,1,0
30_10_23_11_24,0,0,0,21.20,44.60,4554,20.10,55.40,4549,0,0,0,19.10,55.70,4565,19.90,52.00,4561,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.36,20.36,C,1,0,17.90,20.10,20.36,20.55,C,1,0,21.20,0.00,20.36,17.98,C,965,365,18.10,19.10,20.36,64.10,C,0,0,20.20,19.80,20.36,64.10,O,1,0
30_10_23_11_54,0,0,0,21.20,44.60,4634,20.10,55.40,4615,0,0,0,19.10,55.70,4628,19.80,52.00,4623,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.43,20.43,C,2,0,17.90,20.10,20.43,20.55,C,3,0,21.20,0.00,20.43,17.98,C,972,372,18.10,19.10,20.43,64.10,C,0,0,20.20,19.80,20.43,64.10,O,1,0
30_10_23_12_24,0,0,0,21.10,44.40,4695,20.10,55.40,4707,0,0,0,19.10,55.70,4690,19.80,51.80,4704,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.10,20.49,20.49,C,0,0,17.90,20.10,20.49,20.55,C,0,0,21.20,0.00,20.49,18.05,C,979,379,18.10,19.10,20.49,64.10,C,1,0,20.20,19.80,20.49,64.10,O,0,0
30_10_23_12_54,0,0,0,21.20,44.50,4719,20.10,55.40,4759,0,0,0,19.10,55.70,4767,19.80,51.90,4755,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.62,C,6,0,17.90,20.10,20.62,20.55,C,1,0,21.20,0.00,20.62,18.05,C,987,387,18.10,19.10,20.62,64.10,C,0,0,20.20,19.80,20.62,64.10,O,1,0
30_10_23_13_25,0,0,0,21.20,44.50,4719,20.10,55.40,4759,0,0,0,19.10,55.60,4801,19.80,51.80,4804,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.68,C,16,0,17.90,20.10,20.62,20.55,C,11,0,21.20,0.00,20.62,18.11,C,997,397,18.10,19.10,20.62,64.10,C,0,0,20.20,19.80,20.62,64.10,O,0,0
30_10_23_13_55,0,0,0,21.20,44.50,4840,20.10,55.40,4759,0,0,0,19.10,55.60,4843,19.90,52.00,4837,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.62,20.62,C,1,0,17.90,20.10,20.62,20.62,C,20,0,21.20,0.00,20.62,18.11,C,1006,406,18.10,19.10,20.62,64.10,C,1,0,20.20,19.90,20.62,64.10,O,1,0
30_10_23_14_25,0,0,0,21.20,44.50,4902,20.10,55.40,4894,0,0,0,19.10,55.60,4861,20.10,52.20,4899,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.74,20.68,C,1,0,17.90,20.10,20.74,20.62,C,0,0,21.20,0.00,20.74,18.17,C,1014,414,18.10,19.10,20.74,64.10,C,4,0,20.20,20.10,20.74,64.10,O,0,0
